,StateWellNumber,County,LongitudeDD,LatitudeDD,LandSurfaceElevation,WellDepth,WaterElevation,DepthFromLSD
99,6301206,Jefferson,-93.949722,29.990556,19.0,644.0,12.0,7.0
100,6301207,Jefferson,-93.949722,29.99,19.0,60.0,16.3,2.7
101,6301301,Jefferson,-93.908612,29.968055,12.0,1000.0,-3.3200000000000003,15.32
102,6301302,Jefferson,-93.8925,29.962778,9.0,549.0,-5.0,14.0
103,6301303,Jefferson,-93.891389,29.963889,9.0,822.0,-5.265,14.265
104,6301304,Jefferson,-93.891667,29.968611,5.0,20.0,-1.5,6.5
105,6301401,Jefferson,-93.991945,29.949445,12.0,91.0,3.1,8.9
106,6301501,Jefferson,-93.918055,29.925278,8.0,22.0,3.1,4.9
107,6301605,Jefferson,-93.879167,29.933611,5.0,580.0,-33.0,38.0
108,6301606,Jefferson,-93.879167,29.933611,5.0,814.0,-26.783,31.783
109,6301703,Jefferson,-93.963334,29.884722,5.0,935.0,1.45,3.5500000000000003
111,6309202,Jefferson,-93.936667,29.865834,5.0,953.0,-16.0,21.0
112,6309203,Jefferson,-93.937778,29.866389,5.0,881.0,-9.0,14.0
113,6317202,Jefferson,-93.940556,29.722222,6.0,14.0,1.0,5.0
114,6317301,Jefferson,-93.893889,29.732778,5.0,7.0,3.0,2.0
115,6318101,Jefferson,-93.8725,29.719722,5.0,1065.0,1.0219999999999998,3.978
116,6405301,Jefferson,-94.402501,29.963334,33.0,176.0,15.0,18.0
117,6405303,Jefferson,-94.409723,29.993611,35.0,30.0,31.0,4.0
118,6405502,Jefferson,-94.43,29.9372222,45.0,160.0,18.28054054054054,26.71945945945946
119,6405602,Jefferson,-94.375833,29.957223,29.0,150.0,27.2,1.8
120,6405902,Jefferson,-94.398611,29.899445,35.0,150.0,34.0,1.0
121,6405903,Jefferson,-94.413334,29.900278,35.0,260.0,17.0,18.0
123,6406102,Jefferson,-94.338334,29.986111,25.0,20.0,24.0,1.0
125,6406404,Jefferson,-94.374167,29.958612,23.0,20.0,19.0,4.0
126,6406501,Jefferson,-94.304445,29.928889,20.0,96.0,3.8,16.2
127,6406502,Jefferson,-94.324167,29.9425,21.0,160.0,18.0,3.0
128,6406601,Jefferson,-94.251389,29.951667,20.0,15.0,13.8,6.2
129,6406602,Jefferson,-94.268889,29.948334,17.0,14.0,13.3,3.7
130,6406603,Jefferson,-94.261667,29.928611,17.0,159.0,10.0,7.0
131,6406702,Jefferson,-94.350834,29.878611,21.0,227.0,13.0,8.0
132,6406901,Jefferson,-94.268889,29.879722,11.0,119.0,10.0,1.0
133,6406903,Jefferson,-94.273055,29.875278,16.0,67.0,6.0,10.0
134,6407101,Jefferson,-94.221389,29.995556,24.0,33.0,18.0,6.0
135,6407102,Jefferson,-94.243056,29.986945,26.0,25.0,21.9,4.1
136,6407201,Jefferson,-94.198889,29.965001,20.0,18.0,14.5,5.5
137,6407202,Jefferson,-94.201389,29.984722,21.0,18.0,18.2,2.8
138,6407203,Jefferson,-94.206667,29.979167,21.0,156.0,6.4,14.6
139,6407204,Jefferson,-94.198056,29.976944,23.0,155.0,10.0,13.0
140,6407207,Jefferson,-94.202501,29.982222,21.0,155.0,6.0,15.0
141,6407209,Jefferson,-94.194167,29.994445,21.0,150.0,7.0,14.0
142,6407212,Jefferson,-94.203889,29.966389,10.0,150.0,7.3,2.7
143,6407405,Jefferson,-94.226389,29.946389,18.0,155.0,6.0,12.0
144,6407501,Jefferson,-94.185,29.951667,15.0,18.0,9.8,5.2
145,6407502,Jefferson,-94.168055,29.957223,12.0,37.0,9.3,2.7
146,6407504,Jefferson,-94.1877778,29.9511111,16.0,180.0,-3.35,19.35
147,6407705,Jefferson,-94.230278,29.899445,17.0,31.0,13.6,3.4
148,6407801,Jefferson,-94.206112,29.916389,19.0,15.0,12.0,7.0
149,6407803,Jefferson,-94.186389,29.913334,20.0,63.0,15.0,5.0
150,6407907,Jefferson,-94.161945,29.883611,11.0,29.0,5.0,6.0
151,6408101,Jefferson,-94.088889,29.970278,11.0,18.0,6.8,4.2
152,6408201,Jefferson,-94.0541667,29.9725,18.0,580.0,-19.92388888888889,37.92388888888889
153,6408301,Jefferson,-94.0175,29.995834,15.0,18.0,9.8,5.2
154,6408401,Jefferson,-94.124722,29.943334,7.0,64.0,-7.0,14.0
155,6408701,Jefferson,-94.111945,29.913056,7.0,27.0,-1.0,8.0
156,6408901,Jefferson,-94.0175,29.913889,5.0,22.0,-3.0,8.0
157,6414101,Jefferson,-94.354723,29.842778,17.0,215.0,-20.2325,37.2325
158,6414103,Jefferson,-94.350556,29.869444,21.0,18.0,18.0,3.0
159,6414104,Jefferson,-94.341111,29.839722,15.0,237.0,-23.0,38.0
160,6414105,Jefferson,-94.3419444,29.8338889,14.0,164.0,-15.446923076923076,29.446923076923078
161,6414203,Jefferson,-94.325555,29.869722,18.0,228.0,9.0,9.0
162,6414204,Jefferson,-94.311389,29.850556,15.0,306.0,-4.3,19.3
163,6414205,Jefferson,-94.312778,29.863056,16.0,230.0,3.5,12.5
164,6414206,Jefferson,-94.310278,29.863056,16.0,230.0,-3.0,19.0
165,6414208,Jefferson,-94.310556,29.863612,16.0,225.0,-8.404347826086957,24.404347826086955
166,6414209,Jefferson,-94.315556,29.862778,16.0,235.0,-11.285652173913043,27.285652173913046
167,6414210,Jefferson,-94.310834,29.863334,15.0,230.0,-13.0,28.0
168,6414305,Jefferson,-94.268333,29.84,10.0,18.0,4.0,6.0
169,6414405,Jefferson,-94.355834,29.818611,22.0,127.0,17.0,5.0
170,6414406,Jefferson,-94.354445,29.833055,17.0,223.0,-24.76,41.76
171,6414407,Jefferson,-94.349445,29.833055,15.0,253.0,-20.746666666666666,35.74666666666667
172,6414408,Jefferson,-94.349445,29.833055,19.0,253.0,6.0,13.0
173,6414802,Jefferson,-94.324722,29.775,13.0,270.0,-8.8,21.8
174,6415105,Jefferson,-94.225,29.863889,7.0,180.0,-2.5,9.5
175,6415203,Jefferson,-94.175833,29.853889,8.0,18.0,0.6,7.4
176,6415301,Jefferson,-94.159167,29.87,15.0,32.0,2.6,12.4
177,6415405,Jefferson,-94.236945,29.818889,10.0,240.0,8.0,2.0
178,6415601,Jefferson,-94.157501,29.803889,9.0,28.0,4.2,4.8
179,6415603,Jefferson,-94.150834,29.810834,8.0,100.0,1.0,7.0
180,6415704,Jefferson,-94.249722,29.756945,14.0,332.0,-5.9,19.9
181,6415705,Jefferson,-94.249722,29.756945,15.0,410.0,-6.7,21.7
182,6415707,Jefferson,-94.238889,29.750834,72.0,40.0,58.685,13.315000000000001
183,6415901,Jefferson,-94.150834,29.756945,7.0,60.0,1.8,5.2
184,6415902,Jefferson,-94.149445,29.753889,5.0,81.0,2.0,3.0
185,6415904,Jefferson,-94.150834,29.756945,7.0,60.0,2.4,4.6
186,6422301,Jefferson,-94.253056,29.744722,5.0,327.0,-3.519230769230769,8.51923076923077
187,6423102,Jefferson,-94.241945,29.735278,5.0,327.0,-2.192,7.192
188,6423103,Jefferson,-94.236945,29.736389,5.0,250.0,-0.9625,5.9625
190,6423201,Jefferson,-94.199722,29.7425,5.0,178.0,1.7999999999999998,3.2
191,6423302,Jefferson,-94.164167,29.741389,3.0,70.0,1.9,1.1
192,6423303,Jefferson,-94.161667,29.739445,3.0,93.0,1.9,1.1
193,6424501,Jefferson,-94.0725,29.668055,5.0,6.0,2.5,2.5
194,6424502,Jefferson,-94.072778,29.667778,5.0,10.0,2.0,3.0
